Title,SOC_Code,Cluster,Description,Skills,Tools,Education_Level,Experience_Needed,Training,Certifications,Salary_Range,Resources,R,I,A,S,E,C
News Analyst / Reporter,27-3023.00,Writing & Journalism,"Research, write, and report news stories for television, online platforms, radio, and print.",Interviewing; Research; Writing; Public Speaking,Teleprompters; Cameras; Newsroom Software,Bachelorâ€™s in Journalism or Communications.,School newspaper or newsroom internship.,Broadcast journalism workshops.,,"$35,000 â€“ $95,000",https://www.coursera.org/specializations/journalism; https://www.youtube.com/watch?v=tO2FJZqXqzY,1,4,2,3,2,3
Entertainer & Performer (Other),27-2099.00,Performance,"Perform in live shows, digital media, or specialized entertainment fields beyond traditional acting roles.",Stage Presence; Improvisation; Movement,Costumes; Props; Performance Spaces,No degree required; specialized training varies.,Live performances or demo reels.,"Dance, circus arts, acting, or vocal classes.",,"$25,000 â€“ $100,000",https://www.skillshare.com/browse/performance; https://www.youtube.com/watch?v=wF4KZKaoGjk,2,1,5,3,3,1
Actor,27-2011.00,Performance,"Portray characters for stage, screen, and digital productions.",Acting Technique; Memorization; Improvisation; Character Development,Scripts; Acting Methods,No degree required; drama programs helpful.,Auditions and demo reels.,"Acting classes, drama schools.",,"$25,000 â€“ $120,000",https://www.youtube.com/watch?v=wF4KZKaoGjk; https://www.udemy.com/course/acting,2,1,5,3,3,1
Dancer,27-2031.00,Performance,"Perform choreographed routines in concerts, films, and stage productions.",Rhythm; Flexibility; Creativity,Dance Shoes; Mirrors; Music Systems,Dance academy or conservatory training.,Dance portfolio or performance videos.,Dance classes and workshops.,,"$20,000 â€“ $80,000",https://www.youtube.com/watch?v=00XgA7j6u-Y; https://www.skillshare.com/browse/dance,2,1,5,3,2,1
Choreographer,27-2032.00,Performance,"Design and teach dance routines for performances, film, and music videos.",Creativity; Movement Technique; Leadership,Music Editing Software; Mirrors,Dance experience required; degree optional.,Dance training and teaching experience.,Choreography workshops.,,"$30,000 â€“ $95,000",https://www.skillshare.com/classes/dance-choreography; https://www.youtube.com/watch?v=2OK5MQYShZI,2,1,5,2,3,2
Animator,27-1014.00,Design & Media,"Create 2D and 3D animations for film, games, and online media.",Drawing; 3D Modeling; Creativity; Timing,Blender; Maya; After Effects,Bachelorâ€™s in Animation or Graphic Design.,Animated portfolio required.,"Animation programs, online modeling courses.",,"$50,000 â€“ $110,000",https://www.coursera.org/specializations/animation; https://www.youtube.com/watch?v=TPrnSACiTJ4,2,2,5,1,2,3
Graphic Designer,27-1024.00,Design & Media,"Design branding, digital content, and visual media for entertainment and marketing.",Typography; Creativity; Layout Design,Photoshop; Illustrator; Canva,Bachelorâ€™s in Graphic Design preferred.,Design portfolio.,Design courses and workshops.,,"$40,000 â€“ $85,000",https://www.coursera.org/learn/graphic-design; https://www.youtube.com/watch?v=O7CByxyF9pI,1,2,5,1,2,3
Content Creator,27-4021.00,Design & Media,Create short-form videos and digital content for social media and brands.,Editing; Storytelling; Social Media Strategy,CapCut; Premiere Rush; Canva,No degree required; portfolio-based.,Clips and reels.,Social media strategy courses.,,"$30,000 â€“ $95,000",https://www.youtube.com/watch?v=_vK7K8jRSOM; https://www.skillshare.com/classes/content-creation,2,2,5,2,3,2
Musician / Singer,27-2042.00,Music,"Perform music as a vocalist or instrumentalist for live shows, recordings, or media.",Vocal Technique; Rhythm; Musicianship,Microphones; Instruments; Music Software,No degree required; music training common.,Demos or performance reels.,"Vocal lessons, music theory classes.",,"$25,000 â€“ $120,000",https://www.coursera.org/learn/sing; https://www.youtube.com/watch?v=GCpU4xTA54k,2,1,5,3,2,1
Music Director / Composer,27-2041.00,Music,"Compose, arrange, and direct musical pieces for film, concerts, and media.",Composition; Music Theory; Arranging,Logic Pro; Sibelius; Ableton,Bachelorâ€™s in Music recommended.,Composition samples or directing experience.,"Music theory courses, orchestration training.",,"$45,000 â€“ $120,000",https://www.masterclass.com/classes/hans-zimmer-teaches-film-scoring; https://www.coursera.org/learn/music-theory,2,2,5,2,3,3
Radio & TV Announcer,27-3011.00,Sports & Broadcasting,"Host radio or TV segments, deliver news, commentary, or sports updates.",Public Speaking; Writing; Audio Presentation,Microphones; Broadcast Software,Bachelorâ€™s in Journalism or Communications preferred.,Campus radio or broadcast samples.,Broadcasting courses.,,"$35,000 â€“ $95,000",https://www.coursera.org/specializations/journalism; https://www.youtube.com/watch?v=BqWkI4X6dk4,1,2,3,3,3,2
Marketing Specialist / Publicist,13-1161.00,"Business, Sports & Entertainment","Promote artists, productions, brands, and entertainment events.",Marketing Strategy; Content Writing; Analytics,Google Analytics; Canva; Email Marketing Tools,Bachelorâ€™s in Marketing or Communications.,Marketing or PR internship.,Digital marketing courses.,Google Analytics Certification,"$45,000 â€“ $95,000",https://www.coursera.org/specializations/digital-marketing; https://www.youtube.com/watch?v=5aNtsdG1gZQ,1,3,3,3,5,3
Business Operations Specialist,13-1199.00,Business & Sports,"Support operational strategy and logistics for entertainment, sports, and media companies.",Data Analysis; Project Management; Communication,Excel; CRM Systems; Project Management Software,Bachelorâ€™s in Business or related field.,Operations or analyst internship.,Business analytics courses.,,"$50,000 â€“ $100,000",https://www.coursera.org/specializations/business-analytics; https://www.youtube.com/watch?v=QPmFjJz7Zq4,2,3,2,2,4,5
Event Planner,13-1121.00,Sports & Events,"Plan and coordinate concerts, sports events, conferences, and entertainment gatherings.",Organization; Negotiation; Budgeting,Event Softwares; Scheduling Tools,Bachelorâ€™s in Hospitality or Business.,Event planning experience or volunteering.,Event planning programs.,Certified Meeting Professional (CMP),"$40,000 â€“ $85,000",https://www.coursera.org/learn/event-management; https://www.youtube.com/watch?v=Bd3ZVCx2UHs,1,2,3,3,4,4
General & Operations Manager,11-1021.00,Business & Sports,"Oversee daily operations, staff, budgeting, and organizational strategy in entertainment and sports companies.",Leadership; Budgeting; Operations Management,ERP Systems; Analytics Tools,Bachelorâ€™s in Business; MBA preferred.,Management experience.,Operations management courses.,,"$60,000 â€“ $150,000",https://www.coursera.org/learn/operations; https://www.youtube.com/watch?v=9x6bN_xwS5k,2,3,2,3,5,5
HR Specialist (Talent Recruitment),13-1071.00,Business & Sports,"Recruit talent, manage onboarding, and support workforce planning for entertainment and media companies.",Communication; Interviewing; HR Systems,ATS Platforms; HRIS Systems,Bachelorâ€™s in HR or Business.,Recruiting or HR internship.,HR certification programs.,SHRM-CP,"$50,000 â€“ $95,000",https://www.coursera.org/learn/human-resources; https://www.youtube.com/watch?v=moO9cKQ8iO8,1,3,2,5,4,4
Lawyer,23-1011.00,Business & Management,"Provide legal counsel in areas such as contracts, intellectual property, and entertainment law.",Legal Research; Negotiation; Writing,Legal Databases; Document Management Tools,Juris Doctor (JD) required.,Law firm or in-house legal experience.,Legal specialization courses.,,"$80,000 â€“ $180,000",https://www.coursera.org/specializations/law; https://www.youtube.com/watch?v=_M4H4_-qj8M,2,5,1,2,4,5
Accountant,13-2011.00,Business & Management,"Manage financial reporting, auditing, and budgeting for entertainment companies.",Accounting; Financial Analysis; Attention to Detail,QuickBooks; Excel; ERP Systems,Bachelorâ€™s in Accounting or Finance.,Accounting internship or entry-level role.,CPA prep courses.,CPA,"$55,000 â€“ $110,000",https://www.coursera.org/learn/accounting; https://www.youtube.com/watch?v=48I0IHlgi0U,3,4,1,2,2,5
Office Clerk,43-9061.00,Business & Management,Perform administrative support tasks for offices in entertainment and business environments.,Organization; Communication; Office Software,Microsoft Office; CRM Systems,High school diploma; administrative experience helpful.,Office or administrative experience.,Office administration courses.,,"$28,000 â€“ $50,000",https://www.coursera.org/learn/administrative-support; https://www.youtube.com/watch?v=M9b6WZ8v9_k,2,2,1,2,2,4
Talent Agent,13-1071.01,Performance & Media,"Represent creative professionals by negotiating contracts, securing opportunities, and managing careers.",Negotiation; Networking; Industry Knowledge; Sales,CRM Platforms; Email Marketing Tools,"Bachelorâ€™s in Business, Communications, or related field.",Talent agency internship or assistant work.,Entertainment business programs.,,"$45,000 â€“ $150,000+",https://www.masterclass.com/classes/entertainment-business; https://www.youtube.com/watch?v=soa6-0o6UOM,1,2,2,3,5,3
